城市,年齡,年份,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,年份,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用
嘉義縣布袋鎮,80~84歲,2008,氣管、支氣管和肺癌,7,404542,肝和肝內膽管癌,3,69298,結腸、直腸和肛門癌,17,255285,胃癌,1,235563,口腔癌,0,0,女性乳癌,1,13644,食道癌,1,7435,胰臟癌,3,189896,非何杰金氏淋巴瘤,1,13933,前列腺(攝護腺)癌,0,0,白血病,1,26257,子宮頸及部位未明示子宮癌,1,2211,鼻咽癌,0,0,膀胱癌,6,153168,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣布袋鎮,85歲以上,2008,氣管、支氣管和肺癌,2,6199,肝和肝內膽管癌,1,0,結腸、直腸和肛門癌,6,206889,胃癌,1,22450,口腔癌,1,10632,女性乳癌,1,60013,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,108971,前列腺(攝護腺)癌,0,0,白血病,1,5820,子宮頸及部位未明示子宮癌,1,10289,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣布袋鎮,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,65~69歲,2008,氣管、支氣管和肺癌,3,7419,肝和肝內膽管癌,5,170834,結腸、直腸和肛門癌,10,260779,胃癌,0,0,口腔癌,0,0,女性乳癌,12,1057781,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,1,44677,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,4,1866,鼻咽癌,0,0,膀胱癌,2,115531,卵巢癌,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,70~74歲,2008,氣管、支氣管和肺癌,6,740074,肝和肝內膽管癌,3,323953,結腸、直腸和肛門癌,12,203293,胃癌,0,0,口腔癌,0,0,女性乳癌,12,541146,食道癌,1,1902,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,1,75925,子宮頸及部位未明示子宮癌,9,243589,鼻咽癌,0,0,膀胱癌,0,109255,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,75~79歲,2008,氣管、支氣管和肺癌,1,20660,肝和肝內膽管癌,3,147727,結腸、直腸和肛門癌,8,784008,胃癌,3,28597,口腔癌,0,0,女性乳癌,5,49502,食道癌,1,147867,胰臟癌,2,94421,非何杰金氏淋巴瘤,4,471935,前列腺(攝護腺)癌,0,0,白血病,0,172147,子宮頸及部位未明示子宮癌,2,2237,鼻咽癌,2,13176,膀胱癌,2,951,卵巢癌,2,77587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,80~84歲,2008,氣管、支氣管和肺癌,8,1190168,肝和肝內膽管癌,6,325194,結腸、直腸和肛門癌,7,307375,胃癌,2,6139,口腔癌,0,0,女性乳癌,1,140249,食道癌,0,0,胰臟癌,1,130648,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,7,222219,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,0,28940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,85歲以上,2008,氣管、支氣管和肺癌,2,230140,肝和肝內膽管癌,1,30477,結腸、直腸和肛門癌,8,560781,胃癌,1,0,口腔癌,0,0,女性乳癌,2,228776,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,0,0,鼻咽癌,1,2149,膀胱癌,2,21778,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣大林鎮,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,65~69歲,2008,氣管、支氣管和肺癌,7,1155561,肝和肝內膽管癌,6,384271,結腸、直腸和肛門癌,12,693022,胃癌,1,588526,口腔癌,0,0,女性乳癌,15,324039,食道癌,1,0,胰臟癌,1,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,1,612401,子宮頸及部位未明示子宮癌,15,168366,鼻咽癌,1,9574,膀胱癌,1,0,卵巢癌,2,447483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,70~74歲,2008,氣管、支氣管和肺癌,8,235895,肝和肝內膽管癌,7,1215362,結腸、直腸和肛門癌,14,432378,胃癌,1,36607,口腔癌,0,0,女性乳癌,12,319451,食道癌,0,0,胰臟癌,1,20649,非何杰金氏淋巴瘤,1,543822,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,7,24826,鼻咽癌,2,27938,膀胱癌,4,93615,卵巢癌,1,3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,75~79歲,2008,氣管、支氣管和肺癌,8,946764,肝和肝內膽管癌,9,747337,結腸、直腸和肛門癌,17,916389,胃癌,5,385496,口腔癌,0,0,女性乳癌,6,500101,食道癌,0,0,胰臟癌,2,970045,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,2,50050,子宮頸及部位未明示子宮癌,6,22475,鼻咽癌,1,10719,膀胱癌,2,135370,卵巢癌,1,67465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,80~84歲,2008,氣管、支氣管和肺癌,8,178030,肝和肝內膽管癌,0,26907,結腸、直腸和肛門癌,9,257776,胃癌,4,57476,口腔癌,0,0,女性乳癌,4,203497,食道癌,0,0,胰臟癌,1,0,非何杰金氏淋巴瘤,1,104779,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,5,306069,鼻咽癌,0,0,膀胱癌,2,186977,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,85歲以上,2008,氣管、支氣管和肺癌,10,512768,肝和肝內膽管癌,1,11487,結腸、直腸和肛門癌,7,417138,胃癌,0,0,口腔癌,0,0,女性乳癌,2,35180,食道癌,0,0,胰臟癌,1,51748,非何杰金氏淋巴瘤,1,0,前列腺(攝護腺)癌,0,0,白血病,1,201754,子宮頸及部位未明示子宮癌,3,68219,鼻咽癌,0,0,膀胱癌,3,15545,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣民雄鄉,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,65~69歲,2008,氣管、支氣管和肺癌,3,299983,肝和肝內膽管癌,7,604431,結腸、直腸和肛門癌,2,289964,胃癌,1,822303,口腔癌,0,0,女性乳癌,2,4547,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,2,273983,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,70~74歲,2008,氣管、支氣管和肺癌,2,62491,肝和肝內膽管癌,3,17256,結腸、直腸和肛門癌,4,60971,胃癌,2,225697,口腔癌,1,0,女性乳癌,5,271666,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,1,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,1,73237,鼻咽癌,0,0,膀胱癌,1,64515,卵巢癌,2,24573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,75~79歲,2008,氣管、支氣管和肺癌,7,551951,肝和肝內膽管癌,6,539471,結腸、直腸和肛門癌,5,443887,胃癌,2,16063,口腔癌,0,0,女性乳癌,1,8709,食道癌,0,0,胰臟癌,1,118891,非何杰金氏淋巴瘤,2,172772,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,3,47599,鼻咽癌,2,113021,膀胱癌,6,389147,卵巢癌,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,80~84歲,2008,氣管、支氣管和肺癌,3,160497,肝和肝內膽管癌,3,475607,結腸、直腸和肛門癌,5,37039,胃癌,0,0,口腔癌,0,0,女性乳癌,0,0,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,0,0,鼻咽癌,0,0,膀胱癌,1,37058,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,85歲以上,2008,氣管、支氣管和肺癌,1,152377,肝和肝內膽管癌,0,0,結腸、直腸和肛門癌,2,163251,胃癌,0,0,口腔癌,0,0,女性乳癌,1,3531,食道癌,0,0,胰臟癌,1,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,3,63817,鼻咽癌,0,0,膀胱癌,0,17681,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣溪口鄉,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,65~69歲,2008,氣管、支氣管和肺癌,6,439709,肝和肝內膽管癌,11,1413710,結腸、直腸和肛門癌,14,281743,胃癌,3,115182,口腔癌,0,0,女性乳癌,12,858996,食道癌,0,0,胰臟癌,2,421569,非何杰金氏淋巴瘤,0,6240,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,10,31746,鼻咽癌,0,0,膀胱癌,2,4825,卵巢癌,2,9278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,70~74歲,2008,氣管、支氣管和肺癌,6,549105,肝和肝內膽管癌,8,486802,結腸、直腸和肛門癌,13,1067085,胃癌,2,28940,口腔癌,0,0,女性乳癌,3,198585,食道癌,1,12438,胰臟癌,1,0,非何杰金氏淋巴瘤,1,13984,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,4,36346,鼻咽癌,1,21657,膀胱癌,3,65435,卵巢癌,0,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,75~79歲,2008,氣管、支氣管和肺癌,5,564033,肝和肝內膽管癌,3,459556,結腸、直腸和肛門癌,13,895559,胃癌,0,3806,口腔癌,0,0,女性乳癌,5,98494,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,1,5599,前列腺(攝護腺)癌,0,0,白血病,1,97866,子宮頸及部位未明示子宮癌,7,107253,鼻咽癌,0,0,膀胱癌,1,33918,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,80~84歲,2008,氣管、支氣管和肺癌,2,34050,肝和肝內膽管癌,6,523041,結腸、直腸和肛門癌,5,246835,胃癌,2,3133,口腔癌,0,0,女性乳癌,1,68472,食道癌,1,28923,胰臟癌,2,57374,非何杰金氏淋巴瘤,0,3456,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,2,9803,鼻咽癌,0,0,膀胱癌,1,171876,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,85歲以上,2008,氣管、支氣管和肺癌,0,0,肝和肝內膽管癌,4,252432,結腸、直腸和肛門癌,6,236416,胃癌,3,161142,口腔癌,0,0,女性乳癌,0,0,食道癌,1,858,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,1,34581,子宮頸及部位未明示子宮癌,2,37669,鼻咽癌,1,23805,膀胱癌,0,0,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣新港鄉,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,65~69歲,2008,氣管、支氣管和肺癌,7,958389,肝和肝內膽管癌,6,307200,結腸、直腸和肛門癌,14,292751,胃癌,6,193665,口腔癌,1,16840,女性乳癌,4,1241615,食道癌,0,0,胰臟癌,2,4056,非何杰金氏淋巴瘤,2,50782,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,5,658029,鼻咽癌,2,35187,膀胱癌,4,14986,卵巢癌,2,318351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,70~74歲,2008,氣管、支氣管和肺癌,8,1400525,肝和肝內膽管癌,9,569065,結腸、直腸和肛門癌,8,547919,胃癌,2,112351,口腔癌,1,1035,女性乳癌,5,257929,食道癌,1,20784,胰臟癌,0,0,非何杰金氏淋巴瘤,1,31816,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,6,47986,鼻咽癌,0,330912,膀胱癌,2,37329,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,75~79歲,2008,氣管、支氣管和肺癌,5,1072474,肝和肝內膽管癌,9,383593,結腸、直腸和肛門癌,17,1409112,胃癌,1,12743,口腔癌,1,1349,女性乳癌,1,0,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,8,41129,鼻咽癌,1,1022,膀胱癌,3,42326,卵巢癌,1,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,80~84歲,2008,氣管、支氣管和肺癌,5,18320,肝和肝內膽管癌,8,610288,結腸、直腸和肛門癌,12,793398,胃癌,1,2488,口腔癌,1,1486,女性乳癌,0,0,食道癌,0,0,胰臟癌,1,2818,非何杰金氏淋巴瘤,1,26066,前列腺(攝護腺)癌,0,0,白血病,1,39845,子宮頸及部位未明示子宮癌,2,15487,鼻咽癌,0,0,膀胱癌,2,260792,卵巢癌,1,7655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,85歲以上,2008,氣管、支氣管和肺癌,3,173691,肝和肝內膽管癌,5,357990,結腸、直腸和肛門癌,10,652343,胃癌,1,0,口腔癌,0,0,女性乳癌,0,0,食道癌,0,0,胰臟癌,1,322426,非何杰金氏淋巴瘤,1,5950,前列腺(攝護腺)癌,0,0,白血病,1,0,子宮頸及部位未明示子宮癌,6,260136,鼻咽癌,0,0,膀胱癌,2,1054,卵巢癌,2,26018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣六腳鄉,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣東石鄉,65~69歲,2008,氣管、支氣管和肺癌,6,1230082,肝和肝內膽管癌,10,819778,結腸、直腸和肛門癌,11,536527,胃癌,1,125438,口腔癌,1,2765,女性乳癌,7,467478,食道癌,0,0,胰臟癌,2,3208,非何杰金氏淋巴瘤,1,521790,前列腺(攝護腺)癌,0,0,白血病,1,67108,子宮頸及部位未明示子宮癌,3,313799,鼻咽癌,0,0,膀胱癌,2,10304,卵巢癌,2,78523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
